sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
NPL_Teddington,NA,NA,51.4258,-0.3445,N,567,576,0,51.4258,-0.3445,NA,NA,1471,TRUE
Highfield,NA,NA,51.608,0.1745,N,567,578,0,51.608,0.1745,NA,NA,1472,TRUE
ECCOE-EROS-InstFarm,NA,NA,43.733706,-96.62185,N,536,268,0,43.733706,-96.62185,NA,NA,1473,TRUE
ECCOE-Mann-Farm-SD,NA,NA,43.997131,-98.215017,N,537,263,0,43.997131,-98.215017,NA,NA,1474,TRUE
ECCOE-SDSU-R-Park,NA,NA,44.321064,-96.76225,N,538,267,0,44.321064,-96.76225,NA,NA,1475,TRUE
Soverato_IMAA,NA,NA,38.689444,16.545278,N,516,630,0,38.689444,16.545278,NA,NA,1476,TRUE
Lewis-Clark_ID_USA,NA,NA,46.413153,-117.02717,N,547,203,0,46.413153,-117.02717,NA,NA,1477,TRUE
Mindelo_OSCM,NA,NA,16.877772,-24.995374,N,429,497,0,16.877772,-24.995374,NA,NA,1478,TRUE
Marseille_ATMO,NA,NA,43.3059,5.395,N,534,594,0,43.3059,5.395,NA,NA,1479,TRUE
Montreal,NA,NA,45.522558,-73.620786,N,543,341,0,45.522558,-73.620786,NA,NA,1480,TRUE
OU_NWC,NA,NA,35.181861,-97.440306,N,502,265,0,35.181861,-97.440306,NA,NA,1481,TRUE
Berlin_FRIE,NA,NA,52.5075,13.398,N,571,620,0,52.5075,13.398,NA,NA,1482,TRUE
MammothCUES_CA_USA,NA,NA,37.643,-119.029,N,512,196,0,37.643,-119.029,NA,NA,1483,TRUE
ECCOE-Edwards-AFB,NA,NA,34.947386,-117.879672,N,501,200,0,34.947386,-117.879672,NA,NA,1484,TRUE
UH_Liberty,NA,NA,30.096944,-94.763,N,481,274,0,30.096944,-94.763,NA,NA,1485,TRUE
ARM_Gothic,NA,NA,38.956,-106.988,N,517,235,0,38.956,-106.988,NA,NA,1486,TRUE
ARM_LaPorte,NA,NA,29.669,-95.059,N,480,273,0,29.669,-95.059,NA,NA,1487,TRUE
Tahiti_MF,NA,NA,-17.555379,-149.614539,N,291,98,0,-17.555379,-149.614539,NA,NA,1488,TRUE
UH_Aldine,NA,NA,29.901111,-95.326125,N,481,272,0,29.901111,-95.326125,NA,NA,1489,TRUE
UH_Sugarland,NA,NA,29.574167,-95.652,N,479,271,0,29.574167,-95.652,NA,NA,1490,TRUE
La_Parva,NA,NA,-33.3304,-70.2972,N,228,352,0,-33.3304,-70.2972,NA,NA,1491,TRUE
ECCOE-Moneta-WY,NA,NA,43.150422,-107.695394,N,534,232,0,43.150422,-107.695394,NA,NA,1492,TRUE
Alta_Floresta_IF,NA,NA,-9.908354,-56.064393,N,321,398,0,-9.908354,-56.064393,NA,NA,1493,TRUE
ATHENS_NTUA,NA,NA,37.977036,23.783088,N,513,653,0,37.977036,23.783088,NA,NA,1494,TRUE
Union_Glacier,NA,NA,-79.7679,-82.9131,N,42,312,0,-79.7679,-82.9131,NA,NA,1495,TRUE
Helmos_NTUA,NA,NA,38.00558,22.19825,N,513,648,0,38.00558,22.19825,NA,NA,1496,TRUE
La_Palma,NA,NA,28.486667,-17.848611,N,475,520,0,28.486667,-17.848611,NA,NA,1497,TRUE
Carmel_Valley,NA,NA,36.4021,-121.6464,N,507,188,0,36.4021,-121.6464,NA,NA,1498,TRUE
Roosevelt_HS,NA,NA,38.994375,-76.868269,N,517,331,0,38.994375,-76.868269,NA,NA,1499,TRUE
ECCOE-Guymon-OK,NA,NA,36.714822,-101.4787,N,508,252,0,36.714822,-101.4787,NA,NA,1500,TRUE
ECCOE-CoconinoNF-AZ,NA,NA,35.447761,-111.566153,N,503,220,0,35.447761,-111.566153,NA,NA,1501,TRUE
ATTO-Campina,NA,NA,-2.181583,-59.021861,N,352,388,0,-2.181583,-59.021861,NA,NA,1502,TRUE
AU_NSW_Merriwa,NA,NA,-32.12667,150.4583,N,232,1058,0,-32.12667,150.4583,NA,NA,1503,TRUE
AU_NSW_Lidcombe,NA,NA,-33.93139,151.0467,N,225,1060,0,-33.93139,151.0467,NA,NA,1504,TRUE
Seguin_Texas_USA,NA,NA,29.570896,-97.982997,N,479,263,0,29.570896,-97.982997,NA,NA,1505,TRUE
