sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,locationId,country,sensorType,continent,sensorId
Tasmania_Region,Australia,Hadspen,-41.503,147.067,Y,195,1048,0,-41.503,147.067,,100001,5484,AU,reference grade,unknown,14462
Tasmania_Region_2,Australia,Westbury,-41.53,146.835,Y,195,1047,0,-41.53,146.835,,100002,5483,AU,reference grade,unknown,14461
Tasmania_Region_3,Australia,Latrobe,-41.238,146.42,Y,196,1046,0,-41.238,146.42,,100003,233316,AU,reference grade,unknown,1342446
Tasmania_Region_4,Australia,Emu River,-41.108,145.883,Y,197,1044,0,-41.108,145.883,,100004,5482,AU,reference grade,unknown,5079369
Tasmania_Region_5,Australia,Longford,-41.595,147.122,Y,195,1048,0,-41.595,147.122,,100005,5481,AU,reference grade,unknown,14458
Tasmania_Region_6,Australia,West Ulverstone,-41.159,146.146,Y,196,1045,0,-41.159,146.146,,100006,5491,AU,reference grade,unknown,14479
Tasmania_Region_7,Australia,Smithton,-40.85,145.133,Y,198,1041,0,-40.85,145.133,,100007,5488,AU,reference grade,unknown,14471
Tasmania_Region_8,Australia,Wynyard,-40.992,145.718,Y,197,1043,0,-40.992,145.718,,100008,5487,AU,reference grade,unknown,14470
Tasmania_Region_9,Australia,Sheffield,-41.43,146.338,Y,195,1045,0,-41.43,146.338,,100009,5486,AU,reference grade,unknown,14473
Tasmania_Region_10,Australia,Deloraine,-41.523,146.658,Y,195,1046,0,-41.523,146.658,,100010,5485,AU,reference grade,unknown,14466
Tasmania_Region_11,Australia,Perth,-41.578,147.172,Y,195,1048,0,-41.578,147.172,,100011,5490,AU,reference grade,unknown,14476
Tasmania_Region_12,Australia,Devonport,-41.185,146.345,Y,196,1045,0,-41.185,146.345,,100012,5480,AU,reference grade,unknown,14457
Tasmania_Region_14,Australia,Scottsdale,-41.162,147.515,Y,196,1049,0,-41.162,147.515,,100014,5478,AU,reference grade,unknown,14452
Tasmania_Region_15,Australia,Queenstown,-42.081,145.553,Y,193,1043,0,-42.081,145.553,,100015,233317,AU,reference grade,unknown,1342450
Tasmania_Region_16,Australia,Fingal,-41.638,147.967,Y,194,1050,0,-41.638,147.967,,100016,5474,AU,reference grade,unknown,14444
Tasmania_Region_17,Australia,Lilydale,-41.25,147.217,Y,196,1048,0,-41.25,147.217,,100017,5476,AU,reference grade,unknown,14446
Tasmania_Region_18,Australia,Exeter,-41.303,146.951,Y,196,1047,0,-41.303,146.951,,100018,5475,AU,reference grade,unknown,14445
Tasmania_Region_19,Australia,St Helens,-41.32,148.25,Y,196,1051,0,-41.32,148.25,,100019,5473,AU,reference grade,unknown,14443
Tasmania_Region_20,Australia,Campbell Town,-41.928,147.491,Y,193,1049,0,-41.928,147.491,,100020,5472,AU,reference grade,unknown,14439
Tasmania_Region_21,Australia,George Town,-41.111,146.836,Y,197,1047,0,-41.111,146.836,,100021,5477,AU,reference grade,unknown,14451
Tasmania_Region_22,Australia,Ti Tree Bend,-41.419,147.124,Y,195,1048,0,-41.419,147.124,,100022,5456,AU,reference grade,unknown,14404
Tasmania_Region_23,Australia,Gretna,-42.684,146.936,Y,190,1047,0,-42.684,146.936,,100023,5463,AU,reference grade,unknown,14425
Tasmania_Region_24,Australia,Cygnet,-43.159,147.072,Y,188,1048,0,-43.159,147.072,,100024,5464,AU,reference grade,unknown,14423
Tasmania_Region_25,Australia,Bream Creek,-42.819,147.817,Y,190,1050,0,-42.819,147.817,,100025,5467,AU,reference grade,unknown,14431
Tasmania_Region_26,Australia,Judbury,-43.01,146.94,Y,189,1047,0,-43.01,146.94,,100026,5465,AU,reference grade,unknown,14426
Tasmania_Region_27,Australia,Oatlands,-42.3,147.372,Y,192,1049,0,-42.3,147.372,,100027,5470,AU,reference grade,unknown,14436
Tasmania_Region_28,Australia,New Norfolk,-42.776,147.054,Y,190,1048,0,-42.776,147.054,,100028,5461,AU,reference grade,unknown,14419
Tasmania_Region_29,Australia,Geeveston,-43.17,146.925,Y,188,1047,0,-43.17,146.925,,100029,5462,AU,reference grade,unknown,14424
Tasmania_Region_30,Australia,Mornington,-42.861,147.404,Y,190,1049,0,-42.861,147.404,,100030,5460,AU,reference grade,unknown,14416
Tasmania_Region_31,Australia,Huonville,-43.03,147.05,Y,189,1048,0,-43.03,147.05,,100031,5469,AU,reference grade,unknown,14434
Tasmania_Region_32,Australia,Triabunna,-42.509,147.913,Y,191,1050,0,-42.509,147.913,,100032,5466,AU,reference grade,unknown,14429
Tasmania_Region_33,Australia,Glenorchy,-42.842,147.271,Y,190,1048,0,-42.842,147.271,,100033,5468,AU,reference grade,unknown,5079367
Tasmania_Region_34,Australia,Hobart,-42.855,147.315,Y,190,1048,0,-42.855,147.315,,100034,5459,AU,reference grade,unknown,14415
Melbourne,Australia,Brooklyn,-37.8220978,144.8471,Y,210,1041,,-37.8220978,144.8471,,100078,10826,AU,reference grade,unknown,36187
Trondheim,Norway,Elgeseter,63.419239,10.395945,Y,615,610,,63.419239,10.395945,,100079,10829,NO,reference grade,unknown,36227
Melbourne_2,Australia,Brighton,-37.9135475,144.998,Y,209,1041,,-37.9135475,144.998,,100080,10832,AU,reference grade,unknown,36214
Melbourne_3,Australia,Box Hill,-37.8287277,145.1324,Y,210,1041,,-37.8287277,145.1324,,100081,10836,AU,reference grade,unknown,36239
PL_1,Poland,"Gocza??????kowice Zdr????j, ul. Parkowa",49.93785,18.975594,Y,561,638,,49.93785,18.975594,,100082,10659,PL,reference grade,unknown,35478
Borsukowizna,Poland,"Borsukowizna, Szk??????????ka Le??????na",53.215492,23.642153,Y,574,653,,53.215492,23.642153,,100083,10842,PL,reference grade,unknown,36260
Mildura,Australia,Mildura,-34.19561,142.1616,Y,224,1032,,-34.19561,142.1616,,100085,270779,AU,reference grade,unknown,1562238
Stockholm,Sweden,"Kungsgatan, Norrk????ping",58.590397,16.178606,Y,595,629,,58.590397,16.178606,,100086,270755,SE,reference grade,unknown,1562142
Stockholm_2,Sweden,"??????sterv????g, Visby",57.637377,18.301129,Y,592,636,,57.637377,18.301129,,100087,270750,SE,reference grade,unknown,1562148
Stockholm_3,Sweden,"Tulegatan, Sundbyberg",59.3667459,17.9688665,Y,598,635,,59.3667459,17.9688665,,100088,270749,SE,reference grade,unknown,1562152
PL_2,Poland,"Bia??????a, ul. Kmicica",52.602534,19.6451,Y,571,640,,52.602534,19.6451,,100089,10857,PL,reference grade,unknown,2589397
Uppsala,Sweden,"Kungsgatan, Uppsala",59.853185,17.653329,Y,600,633,,59.853185,17.653329,,100090,270746,SE,reference grade,unknown,1562140
TW_1,"Taiwan, Province of China",???????????????????????? - ????????????,22.608711,120.312017,Y,451,962,,22.608711,120.312017,,100091,10663,TW,reference grade,unknown,35504
Stockholm_4,Sweden,"Hamngatan, Link????ping",58.40878,15.631343,Y,595,627,,58.40878,15.631343,,100092,270745,SE,reference grade,unknown,1562141
Bendigo,Australia,Bendigo,-36.7784,144.300064,Y,214,1039,,-36.7784,144.300064,,100093,10863,AU,reference grade,unknown,36370
NO_1,Norway,Bekkestua,59.91822,10.58393,Y,601,611,,59.91822,10.58393,,100094,10865,NO,reference grade,unknown,36379
IS_1,Iceland,Reykjavik Grensas,64.1301,-21.87465,Y,618,507,,64.1301,-21.87465,,100095,10665,IS,reference grade,unknown,35510
Melbourne_4,Australia,Dandenong,-37.98576,145.1987,Y,209,1042,,-37.98576,145.1987,,100096,10868,AU,reference grade,unknown,36397
Geelong,Australia,Geelong South,-38.17356,144.3703,Y,208,1039,,-38.17356,144.3703,,100097,10869,AU,reference grade,unknown,36389
Melbourne_5,Australia,Macleod,-37.722477,145.0576,Y,210,1041,,-37.722477,145.0576,,100098,10870,AU,reference grade,unknown,36398
Bergen,Norway,Danmarks plass,60.37408,5.34042,Y,602,594,,60.37408,5.34042,,100099,10875,NO,reference grade,unknown,36411
Spotswood,Australia,Spotswood,-37.82743,144.8801,Y,210,1041,,-37.82743,144.8801,,100100,232406,AU,reference grade,unknown,1337552
PL_3,Poland,"Zamo????????????, ul. Hrubieszowska",50.716628,23.290247,Y,564,652,,50.716628,23.290247,,100101,10668,PL,reference grade,unknown,36005
Lillehammer,Norway,Bankplassen,61.11295,10.46487,Y,605,610,,61.11295,10.46487,,100102,10880,NO,reference grade,unknown,36420
Drammen,Norway,Bangel????kka,59.73327,10.21167,Y,600,610,,59.73327,10.21167,,100103,10881,NO,reference grade,unknown,8950365
Drammen_2,Norway,Backeparken,59.749526,10.165301,Y,600,610,,59.749526,10.165301,,100104,10893,NO,reference grade,unknown,36504
Oslo,Norway,Smestad,59.9325,10.66987,Y,601,611,,59.9325,10.66987,,100105,10894,NO,reference grade,unknown,36514
Stockholm_5,Sweden,Sankt Eriksgatan,59.338921,18.035773,Y,598,635,,59.338921,18.035773,,100106,10924,SE,reference grade,unknown,36709
PL_4,Poland,"????ask, ul. Narutowicza",51.589208,19.131433,Y,567,638,,51.589208,19.131433,,100107,11571,PL,reference grade,unknown,39293
Rangiora,New Zealand,Rangiora,-43.307439,172.594745,Y,188,1129,,-43.307439,172.594745,,100108,784924,NZ,reference grade,unknown,4280438
IS_2,Iceland,Reykjavik Husdyragardurinn,64.138861,-21.873411,Y,618,507,,64.138861,-21.873411,,100109,10673,IS,reference grade,unknown,35576
PL_5,Poland,"K??????dzierzyn-Ko????le, ul. ????mia??????ego",50.349608,18.236575,Y,562,635,,50.349608,18.236575,,100110,10618,PL,reference grade,unknown,35275
Morwell_2,Australia,Morwell East,-38.229393,146.424454,Y,208,1046,,-38.229393,146.424454,,100112,10678,AU,reference grade,unknown,35570
PL_6,Poland,"Jelenia G????ra, ul. Ogi??????skiego",50.913433,15.765608,Y,565,627,,50.913433,15.765608,,100115,10625,PL,reference grade,unknown,35303
PL_7,Poland,"Elbl??????g, ul. Ba????¦y??????skiego",54.167847,19.410942,Y,578,639,,54.167847,19.410942,,100116,10691,PL,reference grade,unknown,35620
Beograd,Serbia,Veliki Crljeni,44.47580847,20.30891418,Y,539,642,,44.47580847,20.30891418,,100117,784180,RS,reference grade,unknown,4275765
Moe,Australia,Moe,-38.1864662,146.258331,Y,208,1045,,-38.1864662,146.258331,,100118,10703,AU,reference grade,unknown,35654
Oslo_2,Norway,Hjortnes,59.91126,10.70398,Y,601,611,,59.91126,10.70398,,100119,10715,NO,reference grade,unknown,35696
Beograd_2,Serbia,Beograd Zemun Ugrinova????ka,44.849212,20.377266,Y,540,642,,44.849212,20.377266,,100120,784153,RS,reference grade,unknown,4276193
TW_2,"Taiwan, Province of China",???????????????????????? - ????????????????,25.072611,121.493806,Y,461,966,,25.072611,121.493806,,100121,10717,TW,reference grade,unknown,35715
Beograd_3,Serbia,Beograd Zemun TB,44.835246,20.403299,Y,540,642,,44.835246,20.403299,,100122,784152,RS,reference grade,unknown,4276034
Beograd_4,Serbia,Beograd Vra????ar Dom zdravlja,44.796427,20.486154,Y,540,643,,44.796427,20.486154,,100123,784150,RS,reference grade,unknown,4276016
PL_8,Poland,"Pozna??????, ul. D??????browskiego",52.420319,16.877289,Y,571,631,,52.420319,16.877289,,100124,10720,PL,reference grade,unknown,35812
NO_2,Norway,"Minnesundvegen, Gj????vik",60.79089,10.6967,Y,604,611,,60.79089,10.6967,,100125,10721,NO,reference grade,unknown,35721
PL_9,Poland,"????yrard????w, ul. Roosevelta",52.053811,20.429892,Y,569,642,,52.053811,20.429892,,100126,10724,PL,reference grade,unknown,35732
Beograd_5,Serbia,Beograd Vin????a,44.766649,20.61098,Y,540,643,,44.766649,20.61098,,100127,784149,RS,reference grade,unknown,4275667
RS_1,Serbia,Beograd Top????iderska Zvezda,44.788646,20.444507,Y,540,642,,44.788646,20.444507,,100128,784148,RS,reference grade,unknown,4276099
PL_10,Poland,"Tarn????w, ul. Ks. Romana Sitko",50.018253,20.992578,Y,561,644,,50.018253,20.992578,,100129,10729,PL,reference grade,unknown,36516
Beograd_6,Serbia,Beograd Sur????in,44.7924,20.272734,Y,540,642,,44.7924,20.272734,,100130,784147,RS,reference grade,unknown,4275897
Beograd_7,Serbia,Beograd Stoj????ino Brdo,44.776953,20.535435,Y,540,643,,44.776953,20.535435,,100131,784146,RS,reference grade,unknown,4276051
Beograd_8,Serbia,Beograd Sopot,44.519807,20.578488,Y,539,643,,44.519807,20.578488,,100132,784145,RS,reference grade,unknown,4275999
Olsztyn,Poland," Olsztyn, ul. Puszkina",53.789233,20.486075,Y,576,643,,53.789233,20.486075,,100133,10743,PL,reference grade,unknown,35836
Beograd_9,Serbia,Beograd Ov????a,44.884112,20.527552,Y,541,643,,44.884112,20.527552,,100134,784144,RS,reference grade,unknown,4275907
Beograd_10,Serbia,Beograd Oml. brigada ,44.805925,20.398811,Y,540,642,,44.805925,20.398811,,100135,784143,RS,reference grade,unknown,4275942
PL_11,Poland,"Jaros??????aw, ul. Pruchnicka",50.012083,22.674772,Y,561,650,,50.012083,22.674772,,100136,10627,PL,reference grade,unknown,35322
RS_2,Serbia,Beograd Obrenovac U??????????e,44.629741,20.011135,Y,540,641,,44.629741,20.011135,,100137,784142,RS,reference grade,unknown,4276214
Warszawa,Poland,"Warszawa, ul. Bajkowa",52.188474,21.176233,Y,570,645,,52.188474,21.176233,,100139,10750,PL,reference grade,unknown,35863
Obrenovac,Serbia,Beograd Obrenovac,44.66999958,20.19733161,Y,540,642,,44.66999958,20.19733161,,100140,784141,RS,reference grade,unknown,5123814
Beograd_Mladenovac,Serbia,Beograd Mladenovac,44.444047,20.696033,Y,539,643,,44.444047,20.696033,,100141,784140,RS,reference grade,unknown,4276075
RS_3,Serbia,Beograd Le????tane,44.728534,20.580721,Y,540,643,,44.728534,20.580721,,100142,784139,RS,reference grade,unknown,4275793
Lazarevac_,Serbia,Beograd Lazarevac ,44.384113,20.265436,Y,539,642,,44.384113,20.265436,,100143,784138,RS,reference grade,unknown,4275878
Melton,Australia,Melton,-37.7064552,144.5669,Y,210,1040,,-37.7064552,144.5669,,100144,10751,AU,reference grade,unknown,35868
Beograd_11,Serbia,Beograd Fran????a Deperea,44.794262,20.463173,Y,540,642,,44.794262,20.463173,,100145,784137,RS,reference grade,unknown,4276188
Beograd_12,Serbia,Beograd Dragi????a Mi????ovi??????,44.777237,20.457029,Y,540,642,,44.777237,20.457029,,100146,784136,RS,reference grade,unknown,4275718
PL_12,Poland,"Krak????w, Aleja Krasi??????skiego",50.057678,19.926189,Y,561,641,,50.057678,19.926189,,100147,10752,PL,reference grade,unknown,35870
Melbourne_6,Australia,Melbourne CBD,-37.8073959,144.97,Y,210,1041,,-37.8073959,144.97,,100148,10753,AU,reference grade,unknown,35872
Beograd_13,Serbia,Beograd Despota Stefana ,44.81681468,20.4699406,Y,540,643,,44.81681468,20.4699406,,100149,784135,RS,reference grade,unknown,4276176
Beograd_14,Serbia,Beograd Bor????a,44.873952,20.446585,Y,540,642,,44.873952,20.446585,,100150,784134,RS,reference grade,unknown,4275855
Beograd_15,Serbia,Beograd Be????anijska kosa,44.815028,20.3779,Y,540,642,,44.815028,20.3779,,100151,784133,RS,reference grade,unknown,4275903
Beograd_16,Serbia,Beograd Barajevo,44.58871,20.429121,Y,539,642,,44.58871,20.429121,,100152,784132,RS,reference grade,unknown,4276120
Beograd_Banovo_brdo,Serbia,Beograd Banovo brdo,44.777284,20.409701,Y,540,642,,44.777284,20.409701,,100153,784131,RS,reference grade,unknown,4276078
Beograd_17,Serbia,Beograd Ada petlja,44.79134339,20.42560078,Y,540,642,,44.79134339,20.42560078,,100154,784130,RS,reference grade,unknown,4276147
Beograd_18,Serbia,Beograd Ada Marina,44.790166,20.4169,Y,540,642,,44.790166,20.4169,,100155,784129,RS,reference grade,unknown,4275917
HU_1,Hungary,Tatab????nya S????gv????ri u.,47.56325,18.4087,Y,551,636,,47.56325,18.4087,,100156,783942,HU,reference grade,unknown,4273129
PL_13,Poland,"Nak??????o nad Noteci??????, ul. ????w. Wawrzy??????ca",53.136681,17.591539,Y,574,633,,53.136681,17.591539,,100157,60180,PL,reference grade,unknown,1331070
Point_Cook,Australia,Point Cook,-37.9263153,144.7567,Y,209,1040,,-37.9263153,144.7567,,100158,10766,AU,reference grade,unknown,35938
HU_2,Hungary,Budapest Erzs????bet t????r,47.498948,19.051903,Y,551,638,,47.498948,19.051903,,100159,783939,HU,reference grade,unknown,4273175
HU_3,Hungary,Duna????jv????ros,46.965924,18.935198,Y,549,638,,46.965924,18.935198,,100160,783931,HU,reference grade,unknown,4272911
Traralgon,Australia,Traralgon,-38.1942825,146.531464,Y,208,1046,,-38.1942825,146.531464,,100161,10771,AU,reference grade,unknown,35974
Oslo_3,Norway,Spikersuppa,59.914051,10.735978,Y,601,611,,59.914051,10.735978,,100162,221402,NO,reference grade,unknown,1287322
Budapest_Gergely_utca,Hungary,Budapest Gergely utca,47.466982,19.157219,Y,551,638,,47.466982,19.157219,,100163,783927,HU,reference grade,unknown,4273177
HU_4,Hungary,Kecskem????t,46.90234,19.68875,Y,549,640,,46.90234,19.68875,,100164,783926,HU,reference grade,unknown,4272922
HU_5,Hungary,V????rpalota,47.20167,18.143025,Y,550,635,,47.20167,18.143025,,100165,783924,HU,reference grade,unknown,4273285
HU_6,Hungary,Budapest Gilice t????r,47.43,19.18111,Y,551,638,,47.43,19.18111,,100166,783920,HU,reference grade,unknown,4272993
HU_7,Hungary,Veszpr????m,47.089574,17.905054,Y,549,634,,47.089574,17.905054,,100167,783914,HU,reference grade,unknown,4272937
HU_8,Hungary,Budapest K??????rak????s park,47.544291,19.144177,Y,551,638,,47.544291,19.144177,,100168,783913,HU,reference grade,unknown,4272760
Kazincbarcika,Hungary,Kazincbarcika,48.247033,20.61445,Y,554,643,,48.247033,20.61445,,100169,783899,HU,reference grade,unknown,4273147
TW_3,"Taiwan, Province of China",?????????????????????? - ??????????????,24.151958,120.641092,Y,458,963,,24.151958,120.641092,,100170,10774,TW,reference grade,unknown,36085
Warszawa_2,Poland,"Warszawa, ul. Chro??????cickiego",52.207742,20.906073,Y,570,644,,52.207742,20.906073,,100171,10775,PL,reference grade,unknown,35993
Warszawa_3,Poland,"Warszawa, al. Niepodleg??????o??????ci",52.219298,21.004724,Y,570,644,,52.219298,21.004724,,100172,10776,PL,reference grade,unknown,36162
Oslo_4,Norway,Manglerud,59.89864,10.8149,Y,601,612,,59.89864,10.8149,,100173,10777,NO,reference grade,unknown,35998
Szolnok,Hungary,Szolnok,47.17712,20.19688,Y,550,642,,47.17712,20.19688,,100175,783896,HU,reference grade,unknown,4273071
Bergen_2,Norway,"Rolland, ??????sane",60.462665,5.332447,Y,603,594,,60.462665,5.332447,,100176,10792,NO,reference grade,unknown,36426
HU_9,Hungary,B????k????scsaba,46.668115,21.06731,Y,548,644,,46.668115,21.06731,,100178,783894,HU,reference grade,unknown,6424329
Oslo_5,Norway,Vahl skole,59.9169444,10.766,Y,601,611,,59.9169444,10.766,,100179,225293,NO,reference grade,unknown,1302872
HU_10,Hungary,Hern????dszurdok,48.47295,21.212,Y,555,645,,48.47295,21.212,,100182,783892,HU,reference grade,unknown,4273310
HU_11,Hungary,Ny????rjes,47.89966,19.946894,Y,553,641,,47.89966,19.946894,,100183,783889,HU,reference grade,unknown,4273004
HU_12,Hungary,Miskolc Alf????ldi,48.09042,20.81201,Y,553,644,,48.09042,20.81201,,100184,783888,HU,reference grade,unknown,6913015
EMI_mobil_2,Hungary,EMI mobil 2,48.099356,20.727049,Y,553,643,,48.099356,20.727049,,100185,783887,HU,reference grade,unknown,4273306
HU_13,Hungary,Sz????kesfeh????rv????r,47.195944,18.400246,Y,550,636,,47.195944,18.400246,,100186,783885,HU,reference grade,unknown,4272780
Bangkok,Thailand,"Phra Kanong District Office,  Bangkok",13.691511,100.61457,Y,416,899,,13.691511,100.61457,,100187,225574,TH,reference grade,southeast_asia,1304286
Ajka,Hungary,Ajka,47.103172,17.561381,Y,549,633,,47.103172,17.561381,,100188,783884,HU,reference grade,unknown,4273011
HU_14,Hungary,Budapest Honv????d,47.522693,19.069867,Y,551,638,,47.522693,19.069867,,100189,783882,HU,reference grade,unknown,4272705
HU_15,Hungary,P????cs Nevel????si K????zpont,46.040885,18.220884,Y,545,635,,46.040885,18.220884,,100190,783879,HU,reference grade,unknown,4272866
HU_16,Hungary,Budapest Budat????t????ny,47.40605,19.0099,Y,551,638,,47.40605,19.0099,,100191,783877,HU,reference grade,unknown,4273092
K_Puszta,Hungary,K-Puszta,46.965244,19.54528,Y,549,640,,46.965244,19.54528,,100192,783874,HU,reference grade,unknown,4273301
Phitsanulok,Thailand,Chom Nan Chaloem Phrakiat Public Park,16.820833,100.258056,Y,428,898,,16.820833,100.258056,,100193,225585,TH,reference grade,southeast_asia,1304133
CY_1,Cyprus,Ormidia - Industrial Station,34.9923,33.779,Y,501,685,,34.9923,33.779,,100194,663502,CY,reference grade,unknown,7973389
CY_2,Cyprus,Larnaca - Traffic Station,34.9166667,33.6275,Y,501,685,,34.9166667,33.6275,,100195,663501,CY,reference grade,unknown,3646861
Bangkok_2,Thailand,"Ladphrao District Office, Bangkok",13.803587,100.607535,Y,416,899,,13.803587,100.607535,,100196,225591,TH,reference grade,southeast_asia,1304377
Bangkok_3,Thailand,Big C Supercenter Bang Na,13.667987,100.635313,Y,416,899,,13.667987,100.635313,,100197,225593,TH,reference grade,southeast_asia,1304057
CY_3,Cyprus,Nicosia - Traffic Station,35.15192247,33.34791996,Y,502,684,,35.15192247,33.34791996,,100198,663500,CY,reference grade,unknown,3646901
CY_4,Cyprus,Paphos - Traffic Station,34.7752778,32.4219444,Y,500,681,,34.7752778,32.4219444,,100199,663499,CY,reference grade,unknown,3646910
CY_5,Cyprus,Zygi - Industrial Station,34.7294444,33.3375,Y,500,684,,34.7294444,33.3375,,100200,663498,CY,reference grade,unknown,3646882
CY_6,Cyprus,Kalavasos - Industrial Station,34.77153,33.29623,Y,500,684,,34.77153,33.29623,,100202,663495,CY,reference grade,unknown,7973444
CY_7,Cyprus,Paralimni - Traffic Station,35.04569276,33.97773488,Y,501,686,,35.04569276,33.97773488,,100203,663494,CY,reference grade,unknown,3646893
CY_8,Cyprus,Limassol - Traffic Station,34.6861111,33.0355556,Y,500,683,,34.6861111,33.0355556,,100204,663493,CY,reference grade,unknown,3646869
PL_14,Poland,"Ko??????cian, ul. Maya",52.090436,16.636381,Y,569,630,,52.090436,16.636381,,100205,634015,PL,reference grade,unknown,3490325
PL_15,Poland,"????uk????w, Bulwar 100-lecia Odzyskania Niepodleg??????o??????ci ",51.930734,22.372502,Y,569,649,,51.930734,22.372502,,100206,479117,PL,reference grade,unknown,2704494
PL_16,Poland,"Pu??????tusk, ul. Mickiewicza",52.703591,21.072603,Y,572,644,,52.703591,21.072603,,100207,475237,PL,reference grade,unknown,2666313
Bangkok_4,Thailand,Lat Krabang Hospital,13.72205,100.784069,Y,416,900,,13.72205,100.784069,,100208,225613,TH,reference grade,southeast_asia,1304281
Nakhon_Phanom,Thailand,"Meteorological stations, Nakhon Phanom",17.412345,104.7786123,Y,431,912,,17.412345,104.7786123,,100209,225615,TH,reference grade,southeast_asia,1304331
Oslo_6,Norway,Brynbanen,59.9156,10.82517,Y,601,612,,59.9156,10.82517,,100210,463976,NO,reference grade,unknown,2602412
Konstancin_Jeziorna,Poland,"Konstancin-Jeziorna, ul. ????eromskiego",52.082277,21.124598,Y,569,645,,52.082277,21.124598,,100211,461706,PL,reference grade,unknown,2589398
Bangkok_5,Thailand,"Huai Khwang District Office, Bangkok",13.77682,100.579543,Y,416,899,,13.77682,100.579543,,100212,225622,TH,reference grade,southeast_asia,1304203
PL_17,Poland,"????wiecie, al. Jana Paw??????a II",53.40758,18.428751,Y,575,636,,53.40758,18.428751,,100213,457921,PL,reference grade,unknown,2569039
PL_18,Poland,"????ag????w, ul. Zap??????otnia",50.778479,21.081224,Y,564,644,,50.778479,21.081224,,100214,455599,PL,reference grade,unknown,2555014
PL_19,Poland,"Rzesz????w, ul. Starzy??????skiego",50.060381,21.980511,Y,561,647,,50.060381,21.980511,,100215,455341,PL,reference grade,unknown,2553430
PL_20,Poland,"Rzesz????w, ul. S??????oci??????ska",50.024856,22.047937,Y,561,648,,50.024856,22.047937,,100216,455340,PL,reference grade,unknown,2553429
Bangkok_6,Thailand,80th Anniversary Commemoration Park,13.7716446,100.4681128,Y,416,898,,13.7716446,100.4681128,,100217,368406,TH,reference grade,southeast_asia,2076224
Nonthaburi,Thailand,Department of Disease Control,13.852778,100.529444,Y,416,899,,13.852778,100.529444,,100218,225629,TH,reference grade,southeast_asia,1304077
Bangkok_7,Thailand,"60th Anniversary of Queen Sirikit Park ,Kheha Romklao Road, Lat Krabang, Bangkok",13.7631141,100.7302101,Y,416,899,,13.7631141,100.7302101,,100219,368404,TH,reference grade,southeast_asia,2076214
Bangkok_8,Thailand,National Economic and Social Development Council Office,13.756281,100.514267,Y,416,899,,13.756281,100.514267,,100220,225631,TH,reference grade,southeast_asia,1304293
Bangkok_9,Thailand,"Chomthong District Office, Bangkok",13.677757,100.483861,Y,416,899,,13.677757,100.483861,,100221,225632,TH,reference grade,southeast_asia,1304130
Bangkok_10,Thailand,Serithai Park,13.7855673,100.6733359,Y,416,899,,13.7855673,100.6733359,,100222,368402,TH,reference grade,southeast_asia,2076231
Bangkok_11,Thailand,"Wang Thonglang District Office, Bangkok",13.778981,100.622294,Y,416,899,,13.778981,100.622294,,100223,225635,TH,reference grade,southeast_asia,1304123
Bangkok_12,Thailand,"Bang Kho Laem District Office, Bangkok (Mobile)",13.69304,100.50244,Y,416,899,,13.69304,100.50244,,100224,368400,TH,reference grade,southeast_asia,2076219
Bangkok_13,Thailand,Ramintra Sports Park,13.8778763,100.6207085,Y,417,899,,13.8778763,100.6207085,,100225,368392,TH,reference grade,southeast_asia,2076223
Bangkok_14,Thailand,Library under King Taksin Bridge,13.719705,100.508782,Y,416,899,,13.719705,100.508782,,100226,225640,TH,reference grade,southeast_asia,1304353
Bangkok_15,Thailand,"Bang Phlat District Office, Bangkok",13.793965,100.504956,Y,416,899,,13.793965,100.504956,,100227,225642,TH,reference grade,southeast_asia,1304146
Bangkok_16,Thailand,"Saphan Sung District Office, Bangkok",13.768892,100.685743,Y,416,899,,13.768892,100.685743,,100229,225651,TH,reference grade,southeast_asia,1304179
Bangkok_17,Thailand,"Bang Sue District Office, Bangkok",13.809596,100.537883,Y,416,899,,13.809596,100.537883,,100231,225656,TH,reference grade,southeast_asia,1304256
Bangkok_18,Thailand,"Chaloem Phrakiat Rama 9 Park Min buri, Bangkok",13.813578,100.73208,Y,416,899,,13.813578,100.73208,,100232,225660,TH,reference grade,southeast_asia,1304438
Swan_Hill,Australia,Swan Hill,-35.34331,143.5341,Y,220,1036,,-35.34331,143.5341,,100233,304222,AU,reference grade,unknown,1728679
Bangkok_19,Thailand,Mahaisawan Intersection,13.70515,100.48465,Y,416,899,,13.70515,100.48465,,100235,225667,TH,reference grade,southeast_asia,1304114
Bangkok_20,Thailand,"Lak Si District Office, Bangkok",13.887395,100.579247,Y,417,899,,13.887395,100.579247,,100237,225677,TH,reference grade,southeast_asia,1304185
Bangkok_21,Thailand,"Bang Khae District Office, Bangkok",13.696314,100.409049,Y,416,898,,13.696314,100.409049,,100238,225678,TH,reference grade,southeast_asia,1304073
Bangkok_22,Thailand,King Mongkut's University of Technology Thonburi,13.651004,100.496673,Y,416,899,,13.651004,100.496673,,100239,225682,TH,reference grade,southeast_asia,1304111
Oslo_7,Norway,Bygd????y Alle,59.9193,10.69651,Y,601,611,,59.9193,10.69651,,100244,10817,NO,reference grade,unknown,36140
PL_21,Poland,"August????w, Uzdrowisko",53.85255,22.984686,Y,576,651,,53.85255,22.984686,,100245,10646,PL,reference grade,unknown,35418
