sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,locationId,country,sensorType,continent,sensorId
Bend_3,United States,Bend Ponderosa Eleme,44.093619,-121.272518,Y,537,189,,44.093619,-121.272518,,103179,270711,US,reference grade,north_america,1561963
CA_47,Canada,Quesnel Johnston Ave,52.96936,-122.4934,Y,573,185,,52.96936,-122.4934,,103180,270714,CA,reference grade,north_america,1561968
WASHINGTON_3,United States,Sipayik,44.963459,-67.060476,Y,541,362,,44.963459,-67.060476,,103181,270716,US,reference grade,north_america,1561979
BURKE,United States,Lostwood NWR,48.641899,-102.402199,Y,556,249,,48.641899,-102.402199,,103182,270738,US,reference grade,north_america,1562131
MERCER,United States,Beulah North,47.2986,-101.7669,Y,550,251,,47.2986,-101.7669,,103183,270739,US,reference grade,north_america,1562112
Bismarck,United States,Bismarck Residential,46.8253,-100.7681,Y,548,255,,46.8253,-100.7681,,103184,270740,US,reference grade,north_america,1562104
OLIVER,United States,Hannover,47.1858,-101.4281,Y,550,252,,47.1858,-101.4281,,103185,270741,US,reference grade,north_america,1562129
WARD,United States,RYDER,47.940861,-101.571583,Y,553,252,,47.940861,-101.571583,,103186,270742,US,reference grade,north_america,1562128
MC_KENZIE,United States,TRNP-NU,47.6011,-103.2642,Y,551,247,,47.6011,-103.2642,,103187,270743,US,reference grade,north_america,1562134
Fargo,United States,Fargo NW,46.933601,-96.854698,Y,549,267,,46.933601,-96.854698,,103188,270744,US,reference grade,north_america,1562111
GAGE,United States,Homestead NHP,40.28506,-96.82431,Y,522,267,,40.28506,-96.82431,,103189,270772,US,reference grade,north_america,1562190
Riverside_San_Bernardino_Ontario_4,United States,Big Bear,34.264706,-116.861653,Y,498,203,,34.264706,-116.861653,,103190,270808,US,reference grade,north_america,1562370
Dover_2,United States,Dover,39.155,-75.518056,Y,518,335,,39.155,-75.518056,,103191,270811,US,reference grade,north_america,1562379
BALTIMORE_(CITY),United States,Lake Montebello,39.33746,-76.58905,Y,518,332,,39.33746,-76.58905,,103192,270826,US,reference grade,north_america,1562414
CA_48,Canada,Edmonton Central Eas,53.549509,-113.48593,Y,575,214,,53.549509,-113.48593,,103193,277971,CA,reference grade,north_america,1582629
ALBERTA_6,Canada,Powers,53.6331,-114.4197,Y,576,211,,53.6331,-114.4197,,103194,277978,CA,reference grade,north_america,1582661
ALBERTA_7,Canada,Hinton,53.2536,-117.3153,Y,574,202,,53.2536,-117.3153,,103195,277984,CA,reference grade,north_america,1582639
ALBERTA_8,Canada,Genesee,53.3017,-114.2211,Y,574,211,,53.3017,-114.2211,,103196,277986,CA,reference grade,north_america,1582658
CA_49,Canada,St Albert,53.626972,-113.611917,Y,576,213,,53.626972,-113.611917,,103197,278003,CA,reference grade,north_america,1582709
CA_50,Canada,Gibbons,53.827241,-113.327174,Y,576,214,,53.827241,-113.327174,,103198,278004,CA,reference grade,north_america,1582708
NEW_BRUNSWICK_3,Canada,Miramichi,47.02567,-65.52049,Y,549,367,,47.02567,-65.52049,,103199,278129,CA,reference grade,north_america,1583263
Riga,Latvia,Riga Kronvalda boulevard,56.954847,24.104756,Y,589,654,,56.954847,24.104756,,103200,282704,LV,reference grade,unknown,1606344
Rucava,Latvia,Rucava,56.162351,21.173331,Y,586,645,,56.162351,21.173331,,103201,282705,LV,reference grade,unknown,1606348
Ventspils,Latvia,Ventspils parventa,57.403997,21.590317,Y,591,646,,57.403997,21.590317,,103202,282706,LV,reference grade,unknown,1606345
Visalia_Porterville,United States,Visalia - W Ashland,36.30815,-119.3129,Y,506,195,,36.30815,-119.3129,,103203,288307,US,reference grade,north_america,1641659
New_York_Northern_New_Jersey_Long_Island_9,United States,Morrisania,40.8367,-73.9214,Y,524,340,,40.8367,-73.9214,,103204,292229,US,reference grade,north_america,1662910
Tuscaloosa,United States,Duncanville Middle S,33.095379,-87.481507,Y,493,297,,33.095379,-87.481507,,103205,295385,US,reference grade,north_america,2604494
CA_51,Canada,Elkford Rocky Mounta,50.007794,-114.93342,Y,561,209,,50.007794,-114.93342,,103206,295419,CA,reference grade,north_america,1680337
CHARLESTON,United States,North Charleston F.S,32.84,-79.96,Y,492,321,,32.84,-79.96,,103208,304623,US,reference grade,north_america,1730155
QA,Qatar,Doha,25.3337,51.22953,Y,462,741,,25.3337,51.22953,,103209,309834,QA,reference grade,unknown,1757563
WASHINGTON_4,United States,Blair,41.550658,-96.146622,Y,527,269,,41.550658,-96.146622,,103210,309893,US,reference grade,north_america,1757835
Richmond_3,United States,Richmond City Near R,37.59088,-77.46925,Y,511,329,,37.59088,-77.46925,,103211,317307,US,reference grade,north_america,1800978
Knoxville_2,United States,Rule,35.97773,-83.9504,Y,505,308,,35.97773,-83.9504,,103212,339909,US,reference grade,north_america,1939052
QUEBEC_29,Canada,Drummondville - Stad,45.8713,-72.50318,Y,544,345,,45.8713,-72.50318,,103213,347311,CA,reference grade,north_america,1976287
CA_53,Canada,York-Roberval,45.464611,-73.582583,Y,543,342,,45.464611,-73.582583,,103214,351951,CA,reference grade,north_america,2000405
FI_2,Finland,Matorova,68.00049,24.24566,Y,633,655,,68.00049,24.24566,,103215,352765,FI,reference grade,unknown,2003311
AZ,Azerbaijan,Baku,40.386992,49.842946,Y,523,736,,40.386992,49.842946,,103216,353013,AZ,reference grade,unknown,2004443
South_West_Queensland,Australia,Toowoomba,-27.535158,151.931893,Y,251,1063,,-27.535158,151.931893,,103217,353677,AU,reference grade,unknown,2007580
Salem_3,United States,Salem Chemeketa Comm,44.976568,-122.976308,Y,541,183,,44.976568,-122.976308,,103218,356091,US,reference grade,north_america,2018387
