sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Zango,Nigeria,Katsina,12.9333,8.5333,N,413,604,0,12.93,8.53,AAQE,1566483135,0,africa
Butembo,Congo (Kinshasa),Nord-Kivu,0.15,29.2833,N,362,671,0,0.15,29.28,AAQE,1180446432,0,africa
Saint_Louis,Senegal,Saint-Louis,16.0333,-16.5,N,425,524,0,16.03,-16.5,AAQE,1686542859,0,africa
Kitenkela,Kenya,Kajiado,-1.4855,36.9047,N,355,695,0,-1.49,36.9,AAQE,1404000624,0,africa
Lucapa,Angola,Lunda-Norte,-8.4228,20.7392,N,327,643,0,-8.42,20.74,AAQE,1024056286,0,africa
Moanda,Congo (Kinshasa),Kongo Central,-5.9342,12.3494,N,337,617,0,-5.93,12.35,AAQE,1180108441,0,africa
Sukrah,Tunisia,L’Ariana,36.8833,10.25,N,509,610,0,36.88,10.25,AAQE,1788614141,0,africa
Dutse,Nigeria,Jigawa,11.7011,9.3419,N,408,607,0,11.7,9.34,AAQE,1566855083,0,africa
Tete,Mozambique,Tete,-16.1579,33.5898,N,296,684,0,-16.16,33.59,AAQE,1508476900,0,africa
Gulu,Uganda,Gulu,2.7817,32.2992,N,372,680,0,2.78,32.3,AAQE,1800406007,0,africa
Bordj_el_Kiffan,Algeria,Alger,36.7375,3.1931,N,508,587,0,36.74,3.19,AAQE,1012186125,0,africa
Al_Manaqil,Sudan,Gezira,14.2504,32.98,N,418,683,0,14.25,32.98,AAQE,1729742500,0,africa
Mufulira,Zambia,Copperbelt,-12.5356,28.2419,N,311,667,0,-12.54,28.24,AAQE,1894907880,0,africa
Ipokia,Nigeria,Ogun,6.5333,2.85,N,387,586,0,6.53,2.85,AAQE,1566918556,0,africa
Mzuzu,Malawi,Mzimba,-11.45,34.0333,N,315,686,0,-11.45,34.03,AAQE,1454525586,0,africa
Auchi,Nigeria,Edo,7.0667,6.2667,N,389,597,0,7.07,6.27,AAQE,1566873539,0,africa
Kashikishi,Zambia,Luapula,-9.3,28.7167,N,324,669,0,-9.3,28.72,AAQE,1894795016,0,africa
Bohicon,Benin,Zou,7.2,2.0667,N,390,584,0,7.2,2.07,AAQE,1204200335,0,africa
Port_Louis,Mauritius,Port Louis,-20.1644,57.5042,N,280,761,0,-20.16,57.5,AAQE,1480131261,0,africa
Taza,Morocco,Fès-Meknès,34.2167,-4.0167,N,498,564,0,34.22,-4.02,AAQE,1504405154,0,africa
Maridi,South Sudan,Western Equatoria,4.9151,29.4769,N,381,671,0,4.92,29.48,AAQE,1728685965,0,africa
Nchelenge,Zambia,Luapula,-9.3533,28.7403,N,324,669,0,-9.35,28.74,AAQE,1894890604,0,africa
Kiambu,Kenya,Kiambu,-1.1714,36.8356,N,356,695,0,-1.17,36.84,AAQE,1404390868,0,africa
Malakal,South Sudan,Upper Nile,9.5369,31.656,N,399,678,0,9.54,31.66,AAQE,1728299711,0,africa
Kafr_ash_Shaykh,Egypt,Kafr ash Shaykh,31.1,30.95,N,485,676,0,31.1,30.95,AAQE,1818743040,0,africa
