sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Faqus,Egypt,Ash Sharqīyah,30.7282,31.797,N,484,679,0,30.73,31.8,AAQE,1818728828,0,africa
Sidi_Yahya_Zaer,Morocco,Rabat-Salé-Kénitra,33.7105,-6.8831,N,496,555,0,33.71,-6.88,AAQE,1504365068,0,africa
Xai_Xai,Mozambique,Gaza,-25.05,33.65,N,261,685,0,-25.05,33.65,AAQE,1508689070,0,africa
Kadoma,Zimbabwe,Mashonaland West,-18.34,29.9,N,288,673,0,-18.34,29.9,AAQE,1716398005,0,africa
Boke,Guinea,Boké,10.94,-14.3,N,405,531,0,10.94,-14.3,AAQE,1324037897,0,africa
Ain_Beida,Algeria,Oum el Bouaghi,35.7833,7.3833,N,504,601,0,35.78,7.38,AAQE,1012021090,0,africa
Sabha,Libya,Sabhā,27.0389,14.4264,N,469,623,0,27.04,14.43,AAQE,1434044820,0,africa
Adjaouere,Benin,Plateau,7,2.6167,N,389,585,0,7,2.62,AAQE,1204225827,0,africa
Kasese,Uganda,Kasese,0.1867,30.0881,N,362,673,0,0.19,30.09,AAQE,1800924936,0,africa
Thies,Senegal,Thiès,14.7916,-16.9249,N,420,523,0,14.79,-16.92,AAQE,1686527948,0,africa
Bu_aale,Somalia,Jubbada Dhexe,1.0833,42.5833,N,365,713,0,1.08,42.58,AAQE,1706765820,0,africa
Ben_Guerir,Morocco,Marrakech-Safi,32,14,N,489,622,0,32,14,AAQE,1504909564,0,africa
Maghnia,Algeria,Tlemcen,34.8617,-1.7306,N,500,571,0,34.86,-1.73,AAQE,1012582356,0,africa
Ambovombe,Madagascar,Toliara,-25.1754,46.0882,N,260,724,0,-25.18,46.09,AAQE,1450135666,0,africa
Sakete,Benin,Plateau,6.7364,2.6581,N,388,586,0,6.74,2.66,AAQE,1204601704,0,africa
Lugazi,Uganda,Buikwe,0.3833,32.9242,N,363,682,0,0.38,32.92,AAQE,1800606876,0,africa
Machakos,Kenya,Machakos,-1.5167,37.2667,N,355,696,0,-1.52,37.27,AAQE,1404746781,0,africa
Materi,Benin,Atacora,10.6978,1.0633,N,404,580,0,10.7,1.06,AAQE,1204459888,0,africa
Quilengues,Angola,Huíla,-14.0814,14.0931,N,305,622,0,-14.08,14.09,AAQE,1024895987,0,africa
Ifanhim,Benin,Plateau,6.6667,2.7167,N,388,586,0,6.67,2.72,AAQE,1204693168,0,africa
Ndali,Benin,Borgou,9.8608,2.7181,N,400,586,0,9.86,2.72,AAQE,1204045508,0,africa
Mungo,Angola,Huambo,-11.6667,16.1667,N,314,629,0,-11.67,16.17,AAQE,1024065318,0,africa
Ait_Ali,Morocco,Souss-Massa,30.1765,-9.4886,N,482,547,0,30.18,-9.49,AAQE,1504009062,0,africa
Afdem,Ethiopia,Sumalē,9.4667,41,N,399,708,0,9.47,41,AAQE,1231882057,0,africa
Nkayi,Zimbabwe,Matabeleland North,-19,28.9,N,285,669,0,-19,28.9,AAQE,1716871686,0,africa
Nador,Morocco,Oriental,35.1667,-2.9333,N,502,568,0,35.17,-2.93,AAQE,1504811178,0,africa
Dassa_Zoume,Benin,Collines,7.75,2.1833,N,392,584,0,7.75,2.18,AAQE,1204114587,0,africa
Kouande,Benin,Atacora,10.3317,1.6914,N,402,582,0,10.33,1.69,AAQE,1204029400,0,africa
Bou_Saada,Algeria,Tizi Ouzou,36.7524,4.5833,N,508,592,0,36.75,4.58,AAQE,1012263841,0,africa
Sabara_Bangou,Niger,Tillabéri,15.1197,2.0006,N,421,583,0,15.12,2,AAQE,1562582841,0,africa
Jawhar,Somalia,Shabeellaha Dhexe,2.7833,45.5,N,372,723,0,2.78,45.5,AAQE,1706737655,0,africa
Kasempa,Zambia,North-Western,-13.455,25.835,N,307,660,0,-13.46,25.84,AAQE,1894152710,0,africa
Nsukka,Nigeria,Enugu,6.8567,7.3958,N,388,601,0,6.86,7.4,AAQE,1566882360,0,africa
Mersa,Ethiopia,Āmara,11.6667,39.6583,N,408,704,0,11.67,39.66,AAQE,1231844606,0,africa
Kintampo,Ghana,Bono East,8.0563,-1.7306,N,393,571,0,8.06,-1.73,AAQE,1288911745,0,africa
Kiffa,Mauritania,Assaba,16.6164,-11.4044,N,427,541,0,16.62,-11.4,AAQE,1478465771,0,africa
Franceville,Gabon,Haut-Ogooué,-1.6333,13.5833,N,354,620,0,-1.63,13.58,AAQE,1266537692,0,africa
Manzini,Eswatini,Manzini,-26.495,31.388,N,255,677,0,-26.5,31.39,AAQE,1748177431,0,africa
Masindi,Uganda,Masindi,1.6836,31.7222,N,368,679,0,1.68,31.72,AAQE,1800409287,0,africa
Empangeni,South Africa,KwaZulu-Natal,-28.75,31.9,N,246,679,0,-28.75,31.9,AAQE,1710623921,0,africa
Itele,Nigeria,Ogun,6.7667,4.0625,N,388,590,0,6.77,4.06,AAQE,1566450486,0,africa
Nkpor,Nigeria,Anambra,6.15,6.8333,N,386,599,0,6.15,6.83,AAQE,1566172737,0,africa
Handeni,Tanzania,Tanga,-5.4242,38.0194,N,339,699,0,-5.42,38.02,AAQE,1834479617,0,africa
Balombo,Angola,Benguela,-12.35,14.7667,N,312,624,0,-12.35,14.77,AAQE,1024251027,0,africa
Maxixe,Mozambique,Inhambane,-23.8597,35.3472,N,266,690,0,-23.86,35.35,AAQE,1508002342,0,africa
Kasserine,Tunisia,Kasserine,35.1667,8.8333,N,502,605,0,35.17,8.83,AAQE,1788047794,0,africa
Matruh,Egypt,Maţrūḩ,31.3333,27.2167,N,486,664,0,31.33,27.22,AAQE,1818661611,0,africa
Witbank,South Africa,Mpumalanga,-25.877,29.201,N,257,670,0,-25.88,29.2,AAQE,1710724527,0,africa
Mascara,Algeria,Mascara,35.4,0.1333,N,503,577,0,35.4,0.13,AAQE,1012738269,0,africa
Khenchela,Algeria,Khenchela,35.4167,7.1333,N,503,600,0,35.42,7.13,AAQE,1012495148,0,africa
Mopti,Mali,Mopti,14.49,-4.18,N,419,564,0,14.49,-4.18,AAQE,1466352252,0,africa
Birnin_Kebbi,Nigeria,Kebbi,12.4504,4.1999,N,411,590,0,12.45,4.2,AAQE,1566191812,0,africa
An_Nuhud,Sudan,West Kordofan,12.6904,28.42,N,412,668,0,12.69,28.42,AAQE,1729223651,0,africa
Baia_Farta,Angola,Benguela,-12.6072,13.1944,N,311,619,0,-12.61,13.19,AAQE,1024743438,0,africa
Labe,Guinea,Labé,11.3167,-12.2833,N,406,538,0,11.32,-12.28,AAQE,1324900784,0,africa
Wa,Ghana,Upper West,10.0667,-2.5,N,401,569,0,10.07,-2.5,AAQE,1288765586,0,africa
Monastir,Tunisia,Monastir,35.7694,10.8194,N,504,612,0,35.77,10.82,AAQE,1788553334,0,africa
Ilebo,Congo (Kinshasa),Kasaï,-4.3167,20.6,N,344,643,0,-4.32,20.6,AAQE,1180788280,0,africa
Bante,Benin,Collines,8.4167,1.8833,N,395,583,0,8.42,1.88,AAQE,1204394009,0,africa
El_Kelaa_des_Srarhna,Morocco,Marrakech-Safi,32.0481,-7.4083,N,489,553,0,32.05,-7.41,AAQE,1504846488,0,africa
Hammamet,Tunisia,Nabeul,36.4,10.6167,N,507,611,0,36.4,10.62,AAQE,1788426798,0,africa
Ad_Dakhla,Morocco,Dakhla-Oued Ed-Dahab,23.7081,-15.9456,N,456,526,0,23.71,-15.95,AAQE,1504999983,0,africa
Lokossa,Benin,Mono,6.6333,1.7167,N,388,582,0,6.63,1.72,AAQE,1204036358,0,africa
Atebubu,Ghana,Bono East,7.7554,-0.9808,N,392,574,0,7.76,-0.98,AAQE,1288881078,0,africa
Idku,Egypt,Al Buḩayrah,31.3058,30.2956,N,486,674,0,31.31,30.3,AAQE,1818383026,0,africa
Azare,Nigeria,Bauchi,11.6742,10.1911,N,408,610,0,11.67,10.19,AAQE,1566322480,0,africa
Kongolo,Congo (Kinshasa),Tanganyika,-5.4,27,N,339,663,0,-5.4,27,AAQE,1180814807,0,africa
Mityana,Uganda,Mityana,0.4006,32.0422,N,363,680,0,0.4,32.04,AAQE,1800284151,0,africa
Ndjamba,Angola,Huíla,-14.7,16.0667,N,302,628,0,-14.7,16.07,AAQE,1024911597,0,africa
Kafr_ad_Dawwar,Egypt,Al Buḩayrah,31.1339,30.1297,N,486,673,0,31.13,30.13,AAQE,1818347704,0,africa
Barika,Algeria,Batna,35.3972,5.3658,N,503,594,0,35.4,5.37,AAQE,1012917898,0,africa
Techiman,Ghana,Bono East,7.5905,-1.9395,N,391,571,0,7.59,-1.94,AAQE,1288222236,0,africa
Natitingou,Benin,Atacora,10.3,1.3667,N,402,581,0,10.3,1.37,AAQE,1204752595,0,africa
Moulay_Abdallah,Morocco,Casablanca-Settat,33.1978,-8.5883,N,494,550,0,33.2,-8.59,AAQE,1504563452,0,africa
Seguela,Côte d’Ivoire,Woroba,7.9611,-6.6731,N,393,556,0,7.96,-6.67,AAQE,1384639807,0,africa
Uitenhage,South Africa,Eastern Cape,-33.7667,25.4,N,226,658,0,-33.77,25.4,AAQE,1710276157,0,africa
Mubende,Uganda,Mubende,0.5575,31.395,N,363,677,0,0.56,31.4,AAQE,1800105368,0,africa
Francistown,Botswana,Francistown,-21.1736,27.5125,N,276,665,0,-21.17,27.51,AAQE,1072124168,0,africa
Bumba,Congo (Kinshasa),Mongala,2.1844,22.4703,N,370,649,0,2.18,22.47,AAQE,1180549980,0,africa
Sarh,Chad,Moyen-Chari,9.15,18.3833,N,398,636,0,9.15,18.38,AAQE,1148442794,0,africa
Walvisbaai,Namibia,Erongo,-22.9494,14.5069,N,269,623,0,-22.95,14.51,AAQE,1516267898,0,africa
Jirja,Egypt,Sūhāj,26.3383,31.8917,N,466,679,0,26.34,31.89,AAQE,1818327836,0,africa
Messaad,Algeria,Djelfa,34.1667,3.5,N,498,588,0,34.17,3.5,AAQE,1012278908,0,africa
Ngong,Kenya,Kajiado,-1.3667,36.6333,N,356,694,0,-1.37,36.63,AAQE,1404947852,0,africa
Sabratah,Libya,An Nuqāţ al Khams,32.7922,12.4842,N,492,617,0,32.79,12.48,AAQE,1434908655,0,africa
Aflou,Algeria,Laghouat,34.1089,2.1019,N,497,584,0,34.11,2.1,AAQE,1012904117,0,africa
Al_Jumayl,Libya,An Nuqāţ al Khams,32.8528,12.0611,N,492,616,0,32.85,12.06,AAQE,1434494324,0,africa
Tota,Benin,Couffo,6.8,1.7833,N,388,583,0,6.8,1.78,AAQE,1204352038,0,africa
Kasama,Zambia,Northern,-10.2117,31.1783,N,320,677,0,-10.21,31.18,AAQE,1894305215,0,africa
Calandala,Angola,Lunda-Norte,-9.0894,15.955,N,325,628,0,-9.09,15.96,AAQE,1024525047,0,africa
Kousseri,Cameroon,Extrême-Nord,12.0833,15.0333,N,409,625,0,12.08,15.03,AAQE,1120996697,0,africa
Ain_Oussera,Algeria,Djelfa,35.4489,2.9044,N,503,586,0,35.45,2.9,AAQE,1012469007,0,africa
KwaDukuza,South Africa,KwaZulu-Natal,-29.3333,31.2917,N,244,677,0,-29.33,31.29,AAQE,1710530492,0,africa
Daoukro,Côte d’Ivoire,Lacs,7.0586,-3.9646,N,389,564,0,7.06,-3.96,AAQE,1454072947,0,africa
Mporokoso,Zambia,Northern,-9.3833,30.1,N,323,673,0,-9.38,30.1,AAQE,1384963890,0,africa
Aboisso,Côte d’Ivoire,Comoé,5.4667,-3.2,N,383,567,0,5.47,-3.2,AAQE,1894882927,0,africa
Leer,South Sudan,Unity,8.3031,30.1406,N,394,673,0,8.3,30.14,AAQE,1384385857,0,africa
Diourbel,Senegal,Diourbel,14.655,-16.2314,N,420,525,0,14.66,-16.23,AAQE,1728110399,0,africa
Oulad_Teima,Morocco,Souss-Massa,30.4,-9.2167,N,483,548,0,30.4,-9.22,AAQE,1686087214,0,africa
Zomba,Malawi,Malawi,-15.386,35.3188,N,299,690,0,-15.386,35.3188,AAQE,1504278611,0,africa
